Country,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,39703,1473,33064,0.933541201,38928341
Albania,15231,416,9406,0.200151071,2877800
Algeria,52940,1795,37170,0.515544239,43851043
Andorra,2696,55,1814,0.887380364,77265
Angola,6246,218,2716,1.939731563,32866268
Antigua and Barbuda,111,3,97,5.97340536,97928
Argentina,883882,23581,709464,4.438715965,45195777
Armenia,55736,1016,45771,20.7974984,2963234
Australia,27263,898,24987,3.987234198,25499881
Austria,54423,852,42829,1.880246268,9006400
Azerbaijan,41752,608,39235,,10139175
Bahamas,5023,106,2815,5.504663385,393248
Bahrain,75287,273,70808,15.47551649,1701583
Bangladesh,377073,5500,291365,7.146637625,164689383
Barbados,206,7,183,3.221402183,287371
Belarus,82471,885,76543,0.05279463,9449321
Belgium,156931,10175,20202,8.179711061,11589616
Belize,2427,35,1487,0.688722324,397621
Benin,2411,41,1973,0.216186485,12123198
Bhutan,306,0,287,0.512837314,771612
Bolivia,138463,8292,100786,5.854773434,11673029
Bosnia and Herzegovina,30345,927,23370,19.59297584,3280815
Botswana,3219,18,834,5.86046391,2351625
Brazil,5055888,149639,4502854,6.781131607,212559409
Brunei,146,3,143,6.2540208,437479
Bulgaria,24319,891,15818,1.775127848,6948445
Burkina Faso,2271,61,1542,,20903278
Burma,26064,598,7050,2.000327663,54409800
Burundi,517,1,472,2.041874199,11890781
Cabo Verde,6913,74,5970,4.360870779,548800
Cambodia,283,0,277,16.64490862,16718971
Cameroon,21203,423,20117,1.829277992,26545864
Canada,182767,9661,153857,3.64230522,37742157
Central African Republic,4854,62,1924,0.070718706,4829764
Chad,1291,92,1103,15.49702527,16425859
Chile,479595,13272,452054,6.597232486,19116209
China,90778,4739,85658,4.401991044,1439323774
Colombia,902747,27660,783131,,50882884
Comoros,495,7,475,4.624872245,869595
Congo (Kinshasa),10841,276,10242,7.405211347,5518092
Costa Rica,87439,1076,52669,0.395305384,5094114
Cote d'Ivoire,20128,120,19752,0.341842908,25070000
Croatia,19932,317,16953,0.026169263,4105268
Cuba,5948,123,5440,0.613992586,11326616
Cyprus,1986,25,1444,1.600650618,875899
Czechia,114005,948,54909,0.312379103,10708982
Denmark,32575,667,26462,1.140200528,5792203
Djibouti,5423,61,5355,1.652184053,988002
Dominica,32,0,24,5.017034408,71991
Dominican Republic,118014,2167,93627,2.202300094,10847904
Ecuador,146828,12188,120511,,17643060
Egypt,104387,6040,97643,,102334403
El Salvador,29951,887,24995,6.079400502,6486201
Equatorial Guinea,5063,83,4894,9.640704998,1402985
Eritrea,414,0,372,8.558389812,3546427
Estonia,3846,68,2946,0.510989933,1326539
Eswatini,5660,113,5282,2.513053919,1160164
Ethiopia,83429,1277,37683,5.761494164,114963583
Fiji,32,2,28,2.363757648,896444
Finland,11849,346,8500,3.591657418,5540718
France,732434,32601,103232,5.720397083,65273512
Gabon,8835,54,8189,2.27814572,2225728
Gambia,3628,117,2540,6.361179651,2416664
Georgia,11271,78,6119,7.07331348,3989175
Germany,323463,9620,274934,6.690105957,83783945
Ghana,47005,306,46398,2.3138123,31072945
Greece,22078,436,1347,2.502042142,10423056
Grenada,24,0,24,6.454837567,112519
Guatemala,97544,3365,86046,0.231696216,17915567
Guinea,10996,69,10304,5.5203504,13132792
Guinea-Bissau,2385,40,1728,12.103085,1874000
Guyana,3405,102,2304,0.149050931,786559
Haiti,8860,230,7104,6.424038741,11402533
Holy See,12,0,12,0.868444604,809
Honduras,83146,2504,31931,8.04275205,9904608
Hungary,36596,933,9683,2.150561976,9660350
Iceland,3460,10,2466,4.619241205,341250
India,7053806,108334,6077976,,1380004385
Indonesia,328952,11765,251481,1.598011364,273523621
Iran,496253,28293,403950,2.175272204,83992953
Iraq,400124,9790,332330,5.398708138,40222503
Ireland,41714,1824,23364,2.538541691,4937796
Israel,289875,1941,225725,0.541201382,8655541
Italy,349494,36140,238525,,60461828
Jamaica,7559,138,3142,0.251323233,2961161
Japan,88962,1626,80798,0.249989913,126476458
Jordan,23998,181,6045,0.165394728,10203140
Kazakhstan,108757,1746,103980,5.095625096,18776707
Kenya,41158,760,31876,6.08317505,53771300
"Korea, South",24606,432,22693,2.691814193,51640000
Kosovo,16130,645,14282,,1932774
Kuwait,110568,655,102722,1.113969273,4270563
Kyrgyzstan,48924,1082,44227,,6524191
Laos,23,0,22,3.13219265,7275556
Latvia,2596,40,1322,10.25453315,1886202
Lebanon,52558,455,22719,,6825442
Lesotho,1800,42,926,1.019032757,2142252
Liberia,1363,82,1245,0.271687567,5057677
Libya,41686,623,23791,4.055928762,6871287
Liechtenstein,142,1,117,0.299374738,38137
Lithuania,5963,103,2751,4.745506244,2722291
Luxembourg,9119,128,7900,4.382903441,625976
Madagascar,16702,237,16012,3.40988701,27691019
Malawi,5821,180,4644,0.560235135,19129955
Malaysia,15096,155,10780,0.920386827,32365998
Maldives,10859,34,9683,2.178461553,540542
Mali,3273,132,2525,0.37549488,20250834
Malta,3681,41,2937,,441539
Mauritania,7550,163,7266,1.799825446,4649660
Mauritius,395,10,358,,1271767
Mexico,814328,83642,689377,7.624325193,128932753
Moldova,61762,1458,43982,7.693012599,4033963
Monaco,233,2,209,4.895195361,39244
Mongolia,315,0,310,6.237224322,3278292
Montenegro,13641,198,9429,6.976403837,628062
Morocco,149841,2572,124854,5.376374339,36910558
Mozambique,9844,70,7203,2.899634155,31255435
Namibia,11891,128,9807,2.478595273,2540916
Nepal,105684,614,74252,8.74225771,29136808
Netherlands,173894,6624,4761,12.06196914,17134873
New Zealand,1871,25,1801,0.358028408,4822233
Nicaragua,5264,153,4225,1.73973556,6624554
Niger,1201,69,1123,0.686777895,24206636
Nigeria,60103,1115,51711,0.690595812,206139587
North Macedonia,20555,785,16099,4.958236393,2083380
Norway,15466,275,11863,12.22459136,5421242
Oman,104129,1009,91731,21.62272431,5106622
Pakistan,318932,6570,303458,2.413939907,220892331
Panama,119666,2482,95552,2.660908493,4314768
Papua New Guinea,549,7,532,4.039707217,8947027
Paraguay,48978,1065,31351,0.273917114,7132530
Peru,846088,33223,733000,8.825249137,32971846
Philippines,336926,6238,276094,2.14415306,109581085
Poland,121638,2972,78982,2.637362569,37846605
Portugal,85574,2067,52803,0.335389683,10196707
Qatar,127778,219,124767,0.23673353,2881060
Romania,152403,5358,116628,3.692177857,19237682
Russia,1278245,22331,1011911,0.99815413,145934460
Rwanda,4892,30,3566,1.730955497,12952209
Saint Kitts and Nevis,19,0,18,3.355676738,53192
Saint Lucia,29,0,27,1.218975994,183629
Saint Vincent and the Grenadines,64,0,64,6.518254124,110947
San Marino,741,42,682,4.137005929,33938
Sao Tome and Principe,922,15,890,15.33020808,219161
Saudi Arabia,338944,5018,324737,3.959165078,34813867
Senegal,15244,314,13198,,16743930
Serbia,34685,762,0,,6804596
Seychelles,148,0,144,1.850726784,98340
Sierra Leone,2300,72,1725,,7976985
Singapore,57866,27,57698,3.171832063,5850343
Slovakia,18797,61,5553,0.128320761,5459643
Slovenia,8252,167,5024,3.703674976,2078932
Somalia,3847,99,3079,5.638657141,15893219
South Africa,690896,17673,622153,3.741477725,59308690
South Sudan,2761,54,1290,3.252756283,11193729
Spain,861112,32929,150376,3.69823452,46754783
Sri Lanka,4628,13,3306,3.538239148,21413250
Sudan,13670,836,6764,0.294583928,43849269
Suriname,5035,107,4830,3.198316241,586634
Sweden,98451,5894,0,0.605492803,10099270
Switzerland,60368,2088,48400,3.841040725,8654618
Syria,4673,221,1271,4.049968902,17500657
Taiwan,527,7,488,6.725098053,23816775
Tajikistan,10180,79,9006,,9537642
Tanzania,509,21,183,0.225115201,56320000
Thailand,3636,59,3451,0.908407126,69799978
Timor-Leste,28,0,28,3.264040313,1268000
Togo,1935,49,1444,0.086533726,8278737
Trinidad and Tobago,5043,90,3221,7.600220413,1399491
Tunisia,31259,456,5032,15.27087561,11818618
Turkey,334031,8778,293145,1.735898378,84339067
Uganda,9701,93,6022,,45741000
Ukraine,263105,5010,116861,0.102037038,43733759
United Arab Emirates,105133,443,95973,0.667110199,9890400
United Kingdom,593565,42850,2495,0.805815233,67886004
Uruguay,2268,50,1930,8.772823734,3473727
United States of America,7717932,214370,3062983,7.031361189,331002647
Uzbekistan,60776,502,57704,0.428179218,33469199
Venezuela,82453,691,73919,6.555534744,28435943
Vietnam,1107,35,1024,6.572664572,97338583
West Bank and Gaza,43945,378,37240,8.835263958,4430000
Western Sahara,10,1,8,15.19212436,597330
Yemen,2051,595,1329,6.406682315,29825968
Zambia,15415,337,14541,0.981820105,18383956
Zimbabwe,8010,230,6492,2.42765632,14862927
